899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
899,22,22,22,22,22,22,22,22,22,902,22,22,22,899
899,22,22,22,22,22,22,22,22,22,902,22,22,22,899
899,902,902,902,899,22,22,22,22,22,899,22,22,22,899
899,22,22,22,22,22,22,22,22,22,22,22,22,22,899
899,22,22,22,22,22,22,899,22,22,22,22,22,22,899
899,22,22,22,22,22,22,902,22,22,22,22,22,22,899
899,902,902,902,899,902,902,902,902,902,899,22,22,22,899
899,22,22,22,902,22,22,902,22,22,22,22,22,22,899
899,22,22,22,902,22,22,899,22,22,22,22,22,22,899
899,22,22,22,902,22,22,22,22,22,22,22,22,22,899
899,22,22,22,899,22,22,22,22,22,899,22,22,22,899
899,22,22,22,22,22,22,902,22,22,22,22,22,22,899
899,22,22,22,22,22,22,902,22,22,22,22,22,22,899
899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
